UF - A,MUNICIPIO - A,NOME DO POP - A,TRECHO,UF - B,MUNICIPIO - B,NOME DO POP - B,TIPO DE REDE,RESPONSAVEIS
PI,PIRIPIRI,PIRIPIRI,PIRIPIRI <> PEDRO II,PI,PEDRO II,PEDRO II,DWDM PASSIVO, GIGA+
PI,PIRIPIRI,PIRIPIRI,PIRIPIRI <> CAPITÃƒO DE CAMPOS,PI,CAPITÃƒO DE CAMPOS,CAPITÃƒO DE CAMPOS,METRO, G3 TELECOM/FONTE TELECOM
PI,CAPITÃƒO DE CAMPOS,CAPITÃƒO DE CAMPOS,CAPITÃƒO DE CAMPOS <> CAMPO MAIOR,PI,CAMPO MAIOR,CAMPO MAIOR,METRO, G3 TELECOM/FONTE TELECOM
PI,COCAL DE TELHA,COCAL DE TELHA,COCAL DE TELHA <> CAPITÃƒO DE CAMPOS,PI,CAPITÃƒO DE CAMPOS,CAPITÃƒO DE CAMPOS,METRO, G3 TELECOM/FONTE TELECOM
PI,CAMPO MAIOR,CAMPO MAIOR,CAMPO MAIOR <> COCAL DE TELHA,PI,COCAL DE TELHA,COCAL DE TELHA,METRO, G3 TELECOM/FONTE TELECOM
PI,CAMPO MAIOR,CAMPO MAIOR,CAMPO MAIOR <> ALTOS,PI,ALTOS,ALTOS,METRO, GIGA+
PI,ALTOS,ALTOS,ALTOS <> LOURIVAL,PI,TERESINA,LOURIVAL,METRO, GIGA+/MEGALINK
PI,ALTOS,ALTOS,ALTOS <> ALTO LONGÃ,PI,ALTO LONGÃ,ALTO LONGÃ,METRO, LOOP FIBRA
PI,ALTOS,ALTOS,ALTOS <> BENEDITINOS,PI,BENEDITINOS,BENEDITINOS,METRO, LOOP FIBRA/ULTRANET (RODOLFO)
PI,TERESINA,LOURIVAL,LOURIVAL <> CAMPO MAIOR,PI,CAMPO MAIOR,CAMPO MAIOR,DWDM, PI CONECTADO
PI,CAMPO MAIOR,CAMPO MAIOR,CAMPO MAIOR <> PIRIPIRI,PI,PIRIPIRI,PIRIPIRI,DWDM, PI CONECTADO
PI,PIRIPIRI,PIRIPIRI,PIRIPIRI <> PIRACURUCA,PI,PIRACURUCA,PIRACURUCA,DWDM, PI CONECTADO
PI,BATALHA,BATALHA,BATALHA <> ESPERANTINA,PI,ESPERANTINA,ESPERANTINA,METRO, G3 TELECOM/FONTE TELECOM
PI,BATALHA,BATALHA,BATALHA <> JOSÃ‰ DE FREITAS,PI,JOSÃ‰ DE FREITAS,JOSÃ‰ DE FREITAS,DWDM, DIRECT/MEGALINK
PI,JOSÃ‰ DE FREITAS,JOSÃ‰ DE FREITAS,JOSÃ‰ DE FREITAS <> AEROPORTO (TERESINA),PI,TERESINA,AEROPORTO,DWDM, G3 TELECOM/FONTE TELECOM/MEGALINK
PI,TERESINA,AEROPORTO,AEROPORTO <> JOQUEI,PI,TERESINA,JOQUEI,METRO, MEGALINK
PI,TERESINA,AEROPORTO,AEROPORTO <> CIDADE NOVA,PI,TERESINA,CIDADE NOVA,METRO, MEGALINK
PI,TERESINA,AEROPORTO,AEROPORTO <> LOURIVAL,PI,TERESINA,LOURIVAL,METRO, MEGALINK
PI,TERESINA,AEROPORTO,AEROPORTO <> ELETRONET,PI,TERESINA,ELETRONET,METRO, MEGALINK
PI,TERESINA,AEROPORTO,AEROPORTO <> PLANALTO,PI,TERESINA,PLANALTO,METRO, MEGALINK
PI,TERESINA,PLANALTO,PLANALTO <> JOSÃ‰ DE FREITAS,PI,JOSÃ‰ DE FREITAS,JOSÃ‰ DE FREITAS,METRO, NOVELTY
PI,TERESINA,PLANALTO,PLANALTO <> JOSÃ‰ DE FREITAS,PI,JOSÃ‰ DE FREITAS,JOSÃ‰ DE FREITAS,METRO, G3 TELECOM/FONTE TELECOM
PI,TERESINA,PLANALTO,PLANALTO <> LOURIVAL,PI,TERESINA,LOURIVAL,METRO, MEGALINK
PI,TERESINA,PLANALTO,PLANALTO <> JOQUEI,PI,TERESINA,JOQUEI,METRO, MEGALINK
PI,TERESINA,JOQUEI,JOQUEI <> CIDADE NOVA,PI,TERESINA,CIDADE NOVA,METRO, MEGALINK
PI,TERESINA,JOQUEI,JOQUEI <> RNP,PI,TERESINA,RNP,METRO, MEGALINK
PI,TERESINA,JOQUEI,JOQUEI <> EQUATORIAL,PI,TERESINA,EQUATORIAL,METRO, MEGALINK
PI,TERESINA,RNP,RNP <> CIDADE NOVA,PI,TERESINA,CIDADE NOVA,METRO, MEGALINK
PI,TERESINA,CIDADE NOVA,CIDADE NOVA <> LOURIVAL,PI,TERESINA,LOURIVAL,METRO, MEGALINK
PI,TERESINA,CIDADE NOVA,CIDADE NOVA <> PIÃ‡ARRA,PI,TERESINA,PIÃ‡ARRA,METRO, MEGALINK
PI,TERESINA,CIDADE NOVA,CIDADE NOVA <> PI CONECTADO,PI,TERESINA,PIÃ‡ARRA,METRO, MEGALINK
PI,TERESINA,PI CONECTADO,PI CONECTADO <> LOURIVAL CDN,PI,TERESINA,LOURIVAL,METRO, MEGALINK
PI,TERESIN,DUO TELECOM,DUO TELECOM <> CIDADE NOVA,PI,TERESINA,CIDADE NOVA,METRO, MEGALINK
PI,TERESIN,DUO TELECOM,DUO TELECOM <> AEROPORTO,PI,TERESINA,AEROPORTO,METRO, MEGALINK
PI,TERESINA,LOURIVAL,LOURIVAL <> ELETRONET,PI,TERESINA,ELETRONET,METRO, MEGALINK
PI,TERESINA,LOURIVAL,LOURIVAL <> ANGELIM,PI,TERESINA,ANGELIM,METRO, MEGALINK
PI,TERESINA,LOURIVAL,LOURIVAL <> MONSENHOR GIL ROTA TRABALHO,PI,MONSENHOR GIL,MONSENHOR GIL,DWDM, GIGA+
PI,TERESINA,LOURIVAL,LOURIVAL <> MONSENHOR GIL ROTA PROTEÃ‡ÃƒO,PI,MONSENHOR GIL,MONSENHOR GIL,DWDM, MEGALINK/IDEAL WEB
PI,MONSENHOR GIL,MONSENHOR GIL,MONSENHOR GIL <> ESTACA ZERO ROTA TRABALHO,PI,LAGOINHA DO PIAUI,ESTACA ZERO,DWDM, GIGA+
PI,MONSENHOR GIL,MONSENHOR GIL,MONSENHOR GIL <> ESTACA ZERO ROTA PROTEÃ‡ÃƒO,PI,LAGOINHA DO PIAUI,ESTACA ZERO,DWDM, MEGALINK/IDEAL WEB
